"","n113","n114","n115","n116","n117","n118","n119","n121","markers"
"P51410",0.0832488045,0.0763937492,0.0240504117,0.1386110594,0.1392373293,0.1269905514,0.327403853,0.0840642414,"60S Ribosome"
"P51863",0.1515247983,0.2503603898,0.0958495673,0.2520970033,0.1337508085,0.0719248551,0.0331477314,0.0113448463,"unknown"
"P53026",0.0789406556,0.0814481573,0.0262666843,0.1447287586,0.1430478462,0.1364336192,0.2714867199,0.1176475589,"60S Ribosome"
"P54822",0.093785135,0.0913571832,0.0647319393,0.1666262509,0.1401825311,0.1555443513,0.1908361907,0.0969364184,"unknown"
"P57780",0.1132158131,0.1441967808,0.0481639559,0.1727973393,0.0972988365,0.04492347,0.0227211155,0.356682689,"unknown"
"P60335",0.069277634,0.0665101076,0.0162860715,0.0788781633,0.0703174398,0.2311879361,0.1742761649,0.2932664829,"unknown"
"P60843",0.0623946453,0.0662885716,0.0226694506,0.0624080747,0.0654459574,0.0771465992,0.1145019073,0.5291447939,"unknown"
"P62075",0.015570503,0.0251263053,0.0116414024,0.1096395292,0.454400272,0.3084999371,0.0699701678,0.0051518833,"Mitochondrion"
"P62264",0.0560801939,0.0692539271,0.0167504544,0.1356664774,0.1366154559,0.1419221124,0.278985869,0.1647255097,"40S Ribosome"
"P62900",0.097151325,0.0914441707,0.0222489827,0.1560864078,0.1350986039,0.1457844334,0.252747585,0.0994384915,"60S Ribosome"
"P62911",0.0347058252,0.0464306062,0.0196780017,0.1460877616,0.1719425423,0.1713812765,0.2921571452,0.1176168412,"unknown"
"P62962",0.099065697,0.1307165188,0.0208847899,0.0760084126,0.0392200742,0.0202774551,0.0169424425,0.59688461,"unknown"
"P63325",0.0683988947,0.0712983196,0.0202417091,0.1257055957,0.1331170415,0.1381531703,0.2831614873,0.1599237818,"40S Ribosome"
"P70227",0.1314380792,0.1758251204,0.072576598,0.1611203494,0.1354144631,0.1576348792,0.075050146,0.0909403647,"Endoplasmic reticulum"
"P70261",0.2204337241,0.188784197,0.0695613233,0.1810870525,0.151940918,0.088095199,0.0340307972,0.0660667889,"unknown"
"P84104",0.1166542768,0.0992794171,0.0173531619,0.1123577328,0.1065561774,0.1417527787,0.1738635721,0.2321828831,"unknown"
"P97379",0.061440682,0.0659073419,0.0266348413,0.0921649473,0.0972067613,0.13060816,0.4629797455,0.0630575206,"unknown"
"P97384",0.1397658449,0.1566054006,0.0321795706,0.1133878489,0.0694006042,0.0596214817,0.0310250886,0.3980141605,"unknown"
"P97855",0.0782967162,0.0709663,0.0234388291,0.0970057965,0.1060654866,0.174979694,0.3738278134,0.0754193643,"unknown"
"P97930",0.0809379624,0.0862353346,0.0319191352,0.0999790265,0.1770096136,0.1255478653,0.0606712258,0.3376998367,"unknown"
"Q04736",0.3215544505,0.2344756789,0.0471945578,0.1424068352,0.0923657914,0.0691254348,0.0316555195,0.0612217318,"unknown"
"Q07417",0.0268828725,0.0279044439,0.0065594899,0.1088572904,0.4527218849,0.3083367435,0.0593639301,0.0093733449,"Mitochondrion"
"Q2TBE6",0.1849576877,0.2484564603,0.0509321289,0.2298721641,0.1545408726,0.0920315518,0.0230906457,0.0161184888,"unknown"
"Q3TLP5",0.039511318,0.0493042889,0.0183792669,0.1020205319,0.4258709361,0.2302677998,0.0938023766,0.0408434818,"Mitochondrion"
"Q3U1J4",0.0729404092,0.078121128,0.0191833302,0.097300479,0.0775430179,0.1171254807,0.0674638082,0.4703223468,"unknown"
"Q3ULD5",0.0791426137,0.1073904419,0.0287127059,0.1675753552,0.3029801755,0.2072859348,0.0679167712,0.0389960018,"unknown"
"Q3UQ84",0.1160891609,0.1030390379,0.041183534,0.1194548205,0.2809739209,0.1951723582,0.0767858893,0.0673012782,"unknown"
"Q5FWI3",0.2040118583,0.2321040551,0.0694358387,0.2064662394,0.1151317128,0.0929287782,0.0448866367,0.0350348808,"unknown"
"Q60631",0.1141277713,0.1931336955,0.0271041131,0.1498151797,0.0639361433,0.042999939,0.0248313071,0.3840518509,"unknown"
"Q60649",0.1276684086,0.1191911655,0.0444127498,0.1416586413,0.2623601143,0.1816697482,0.0740783451,0.0489608271,"Mitochondrion"
"Q60715",0.1080610196,0.1030162236,0.0809180672,0.2084016903,0.2084147948,0.1871206944,0.0743626952,0.0297048149,"unknown"
"Q60767",0.0971802266,0.2086636822,0.0877466254,0.3027832511,0.1466843557,0.0951142422,0.0359702828,0.025857334,"Plasma membrane"
"Q61102",0.0500149208,0.0505814936,0.022308039,0.1183450727,0.3652218387,0.2664885943,0.1029788972,0.0240611435,"Mitochondrion"
"Q61576",0.1100894896,0.1392064928,0.0549007694,0.2409130009,0.1994545365,0.1656461119,0.0552358213,0.0345537776,"Endoplasmic reticulum"
"Q61792",0.1619358133,0.1622417579,0.036239744,0.1279305554,0.0781552254,0.113416615,0.1130947287,0.2069855602,"unknown"
"Q61937",0.0502059861,0.0591845206,0.013436599,0.1050030995,0.0994786958,0.1142676407,0.1272407218,0.4311827365,"unknown"
"Q61941",0.065301275,0.0856596325,0.0275723465,0.1481196039,0.3152199788,0.2164664461,0.0922334431,0.0494272741,"Mitochondrion"
"Q62446",0.0481724011,0.0636671009,0.0226386755,0.1350003047,0.1398840884,0.1387586164,0.3075502855,0.1443285275,"unknown"
"Q62465",0.1750013187,0.1677301514,0.0309994922,0.1204177193,0.0593204636,0.0561648516,0.023169178,0.3671968252,"unknown"
"Q6PA06",0.0991906129,0.1389334492,0.0376298582,0.2898707362,0.1963803685,0.1620202215,0.0358452461,0.0401295073,"Endoplasmic reticulum"
"Q6PDM2",0.0398569811,0.0354993926,0.0125060024,0.0533402685,0.0560476327,0.2133752967,0.1268915041,0.4624829219,"unknown"
"Q7TNV0",0.0364191592,0.036205301,0.0118946363,0.0521926236,0.0875597547,0.5258445212,0.1288267877,0.1210572163,"unknown"
"Q80X50",0.0634593994,0.0562231536,0.088906584,0.0621124511,0.0790566225,0.1074269009,0.4772774619,0.0655374266,"unknown"
"Q80XN0",0.0295969023,0.031551785,0.0109444873,0.1164554208,0.4398284257,0.2935116862,0.0678333502,0.0102779426,"Mitochondrion"
"Q8BGH2",0.0336232402,0.0597827691,0.0198144656,0.1201395705,0.3870059246,0.2791633379,0.0670072076,0.0334634845,"unknown"
"Q8BH24",0.0577427524,0.1174532805,0.0436535803,0.3247411752,0.1916257534,0.1341888026,0.0406045723,0.0899900834,"unknown"
"Q8BJ71",0.0822702751,0.08057044,0.043340885,0.0878473331,0.0831236353,0.1572145187,0.2663337961,0.1992991166,"unknown"
"Q8BJW6",0.082092499,0.0634906631,0.0415842064,0.0701646527,0.089795094,0.1168688382,0.3799913971,0.1560126496,"unknown"
"Q8BKC5",0.057445868,0.0902934339,0.0257305207,0.0958795971,0.0850190462,0.0833919014,0.058034342,0.5042052907,"unknown"
"Q8BMJ2",0.0495547902,0.0629182243,0.0124177203,0.0556924757,0.0356649757,0.0440187708,0.0271997937,0.7125332493,"unknown"
"Q8BP40",0.0300110038,0.0475538609,0.0134289715,0.1353421336,0.3835402513,0.326994669,0.043807439,0.0193216707,"Mitochondrion"
"Q8BP47",0.072875096,0.0810921827,0.0343725921,0.0720382209,0.0549509343,0.0538003699,0.0422292575,0.5886413466,"unknown"
"Q8JZN5",0.044137306,0.048724625,0.021496444,0.120675669,0.3961976677,0.2667729992,0.0749597704,0.0270355188,"Mitochondrion"
"Q8JZQ2",0.0565713794,0.0662053199,0.0224096669,0.1344696965,0.3911281143,0.2525014522,0.0622555098,0.0144588609,"Mitochondrion"
"Q8R1B4",0.0708885863,0.072723409,0.0321079073,0.0718974288,0.0598030973,0.0758072208,0.0615776866,0.555194664,"unknown"
"Q91VA6",0.051830721,0.051585742,0.0196746794,0.1089334594,0.4062854424,0.2507741973,0.0724859414,0.0384298172,"unknown"
"Q91VW5",0.241755176,0.2665506028,0.0396495525,0.2331749168,0.1321310866,0.0571552332,0.0120476995,0.0175357327,"unknown"
"Q91W90",0.1466619789,0.1521936645,0.1127510068,0.1560278,0.2226057529,0.1112742082,0.0420934477,0.056392141,"Endoplasmic reticulum"
"Q91WM2",0.0494728417,0.0566981947,0.0360323098,0.1261975895,0.3330108448,0.2245309648,0.1483467685,0.0257104862,"Mitochondrion"
"Q920A5",0.1252992016,0.1417370981,0.1085833495,0.3356599033,0.1779059913,0.0529586179,0.0350561781,0.0227996602,"unknown"
"Q99K85",0.0663370263,0.0805697087,0.0463841827,0.0737151847,0.0484337412,0.0474782006,0.038964058,0.5981178978,"unknown"
"Q99MN9",0.0363288374,0.0513464434,0.02102347,0.1117186432,0.4162486184,0.2469150145,0.1127555893,0.0036633838,"unknown"
"Q99MR8",0.0883553341,0.0810591281,0.0569919582,0.0988501675,0.2986056219,0.2029083359,0.1184476179,0.0547818365,"Mitochondrion"
"Q9CPU0",0.0425783415,0.063160409,0.0100152862,0.0432161281,0.0490050475,0.0332779112,0.0167823954,0.7419644811,"unknown"
"Q9CR67",0.0617631843,0.09720799,0.0622893955,0.27372509,0.2219003722,0.1720785221,0.0785834769,0.0324519689,"unknown"
"Q9CR98",0.0176602349,0.0169724449,0.005763138,0.1255869449,0.3270335064,0.2649927522,0.0900863974,0.1519045813,"Mitochondrion"
"Q9CU62",0.1051717619,0.1012591508,0.035140773,0.1104288289,0.1175333212,0.2914049672,0.1736714998,0.0653896972,"unknown"
"Q9CXI5",0.0564804889,0.0910731738,0.0362058436,0.2911045016,0.264426163,0.1928792009,0.0521691012,0.015661527,"unknown"
"Q9CZD3",0.1451043314,0.0810484258,0.0328712645,0.0662420872,0.0981122314,0.0611262607,0.0219573827,0.4935380163,"unknown"
"Q9D2G2",0.0325223557,0.0321885497,0.0150963335,0.1091915692,0.4264697962,0.2745205236,0.0904914751,0.019519397,"Mitochondrion"
"Q9D6Z1",0.0984385477,0.1109969961,0.0357154388,0.1216186935,0.0948692251,0.1567774198,0.1538101933,0.2277734857,"Nucleus - Nucleolus"
"Q9DBH5",0.0690136286,0.1204841863,0.0314698262,0.2673746234,0.169794976,0.178007171,0.062670134,0.1011854545,"unknown"
"Q9DC69",0.0827200721,0.102526314,0.0321729316,0.1296696397,0.2745630436,0.2264441788,0.0589996502,0.09290417,"unknown"
"Q9DCX2",0.0723232823,0.073170027,0.0263407394,0.1147151902,0.370810277,0.224958647,0.0926827951,0.024999042,"Mitochondrion"
"Q9ERG0",0.0754431854,0.0931809958,0.0386900474,0.161554003,0.1602727731,0.2861843531,0.0892813264,0.0953933158,"unknown"
"Q9JII6",0.0611799302,0.0692256632,0.0138351651,0.0398485022,0.0310162101,0.0230994592,0.0137850405,0.7480100296,"unknown"
"Q9JLB0",0.2444086879,0.2037150179,0.0683191702,0.1700747749,0.1190653085,0.1053178662,0.0481991937,0.0408999808,"Plasma membrane"
"Q9JMH6",0.0767850847,0.0844996115,0.02924457,0.0919854486,0.074790586,0.0902315351,0.0403281311,0.512135033,"unknown"
"Q9QUM9",0.0783835004,0.0833299044,0.0325433115,0.0774439395,0.1098960973,0.238318589,0.0584700102,0.3216146478,"Proteasome"
"Q9QWT9",0.0754640824,0.0812405839,0.0265661429,0.0942798077,0.1251531165,0.3528023374,0.1676427027,0.0768512265,"unknown"
"Q9QYE6",0.1304313054,0.1545708075,0.0320683812,0.2339598915,0.1546310601,0.1530634457,0.0627545791,0.0785205295,"unknown"
"Q9R0E1",0.0862433744,0.1063413885,0.046314068,0.2366911334,0.2295317717,0.1892909362,0.0708365396,0.0347507882,"unknown"
"Q9WUR9",0.0671274818,0.0709303076,0.0236435967,0.1288417066,0.3620306433,0.2298829195,0.0854525631,0.0320907814,"Mitochondrion"
"Q9WVA4",0.145407903,0.1582371927,0.0388407599,0.1492746228,0.1209325843,0.0906583573,0.0904913671,0.2061572129,"unknown"
"E9Q616",0.1178820318,0.0922123101,0.0383431875,0.1229462328,0.1583716458,0.3299222245,0.1007549461,0.0395674215,"unknown"
"E9QPD7",0.0426518027,0.0605251135,0.0208272483,0.1132995831,0.3986256344,0.2638023477,0.0702906762,0.029977594,"unknown"
"Q1MWP8",0.1991179333,0.1895522656,0.068065136,0.1363030682,0.1103882908,0.1381236264,0.102109552,0.0563401279,"unknown"
"Q3U4X8",0.2525314187,0.1450409649,0.1144423431,0.1240557118,0.1114258367,0.1253922929,0.0603116,0.0667998319,"unknown"
"Q3UAI4",0.0720352492,0.0672089154,0.0168236535,0.0894718869,0.0910578472,0.1457948282,0.2800658574,0.2375417622,"unknown"
"Q3UZ58",0.079767008,0.0672077153,0.0751156141,0.1068176559,0.337051,0.2112337241,0.0946145966,0.0281926858,"unknown"
"Q3V122",0.0733705098,0.0677468787,0.0211285994,0.0625922968,0.0563966507,0.107772185,0.0496818605,0.5613110191,"unknown"
"Q8K314",0.3602882728,0.2027859681,0.108169338,0.1392756719,0.0921410319,0.0648575886,0.0276328247,0.004849304,"unknown"
"Q91VA7",0.0266893712,0.021708593,0.0218306545,0.0903807594,0.4046405344,0.2994500118,0.1122192391,0.0230808366,"unknown"
"Q9DC13",0.0890433861,0.1671221739,0.0769678099,0.4061613585,0.1791660687,0.0405835243,0.0244887165,0.0164669622,"unknown"
"A2BH40",0.0960257531,0.1030867518,0.0292057306,0.0963188078,0.0785044198,0.2559771329,0.2440665299,0.0968148743,"unknown"
"O08528",0.0363293034,0.047857743,0.0136989716,0.0616712252,0.0781400211,0.1129035313,0.0998716135,0.549527591,"unknown"
"O35459",0.0554634971,0.073501649,0.0183300859,0.1234545655,0.3706604091,0.2536150105,0.0579462612,0.0470285217,"unknown"
"O54962",0.0240471106,0.0425430483,0.0119183887,0.0503999483,0.0372317304,0.0902305625,0.0294917374,0.7141374737,"unknown"
"O54984",0.0618060228,0.0824792488,0.015231694,0.0845864244,0.055455227,0.0677802598,0.018990387,0.6136707362,"unknown"
"O55029",0.0600076346,0.0966186041,0.047695158,0.2614996431,0.2010546285,0.1633746342,0.0587719348,0.1109777626,"unknown"
"O55111",0.3705218954,0.2070954857,0.0622124338,0.1346585814,0.0813757002,0.0571244248,0.04648926,0.0405222186,"unknown"
"O55125",0.0273370386,0.0291920944,0.0200798755,0.0934461438,0.4347093856,0.2660296947,0.1162886064,0.0129171609,"Mitochondrion"
"O55222",0.0713944484,0.0957489206,0.0537561041,0.165791885,0.177111202,0.1580983306,0.2410377429,0.0370613663,"unknown"
"O70152",0.1427667022,0.179206627,0.0703305631,0.1575994408,0.2666041182,0.1401639738,0.0366684875,0.0066600874,"unknown"
"O70194",0.0830059956,0.0719990669,0.0249109993,0.075042042,0.0589094501,0.0747016061,0.1023608577,0.5090699822,"unknown"
"O70400",0.1160402749,0.1772343099,0.0719088254,0.1270409237,0.0880056214,0.0910122188,0.0569907656,0.2717670602,"unknown"
"O70435",0.1210244864,0.082679272,0.0283617648,0.0357045606,0.0229288243,0.0211176629,0.0448775351,0.6433058939,"Proteasome"
"O70472",0.1784244265,0.1377698868,0.075176148,0.1508703181,0.1207770147,0.1528184471,0.0960953851,0.0880683737,"unknown"
"O88322",0.1203120802,0.1730867306,0.0499203737,0.2430956804,0.2023934269,0.1402882262,0.0395770577,0.0313264244,"unknown"
"O88967",0.0594098851,0.0564440425,0.0277715679,0.1418849764,0.3885333348,0.2313706137,0.0784479001,0.0161376796,"unknown"
"O88983",0.0927408908,0.2177941191,0.1771683107,0.2932364049,0.1161284673,0.0536967636,0.0300980601,0.0191369835,"unknown"
"O88986",0.0166908944,0.0314622855,0.0152320162,0.1113276496,0.4331332314,0.335802481,0.0484638609,0.007887581,"Mitochondrion"
"O89023",0.1713667281,0.2429878369,0.0538832524,0.3312408242,0.1361805432,0.0397189604,0.0135589793,0.0110628754,"Lysosome"
"O89079",0.0953897514,0.1213742734,0.0439029395,0.261751684,0.166876123,0.1654533963,0.0532368281,0.0920150043,"unknown"
"P07214",0.1592882779,0.1820028764,0.0416751899,0.1978013643,0.1610258481,0.1402297386,0.0574327125,0.0605439923,"unknown"
"P08775",0.1523980432,0.1405355893,0.0578849592,0.1379058438,0.0888257216,0.1440010874,0.0914793841,0.1869693713,"unknown"
"P09242",0.3631930661,0.3147994523,0.0357544438,0.1618209841,0.069748853,0.0357893951,0.0138562776,0.005037528,"Plasma membrane"
"P12025",0.2042352493,0.2258917198,0.0498915424,0.2469559435,0.1271399586,0.0925630841,0.0322662657,0.0210562366,"unknown"
"P14094",0.3425549782,0.1939708577,0.0593297042,0.1621505693,0.1252063084,0.0797076847,0.0264088185,0.0106710791,"unknown"
"P15532",0.0862437959,0.1076674589,0.0345650541,0.0960344676,0.0682904421,0.0803365682,0.0512205755,0.4756416378,"unknown"
"P15920",0.1430222217,0.2318127909,0.1048847568,0.2443264166,0.1915982179,0.0486271867,0.0204754378,0.0152529716,"unknown"
"P16110",0.1451816541,0.125400987,0.0332002876,0.1814670126,0.1271294811,0.0799807864,0.0403404356,0.2672993555,"unknown"
"P18572",0.4119690596,0.2179112176,0.0943764713,0.1213484588,0.0783800166,0.0497284701,0.0234506304,0.0028356755,"unknown"
"P19536",0.0227350496,0.0281418452,0.0116261817,0.0816797988,0.430320265,0.296853579,0.1254385235,0.0032047572,"unknown"
"P21619",0.0265354023,0.0381405163,0.0206332185,0.0690336353,0.0980115741,0.5629608925,0.1613942438,0.0232905171,"unknown"
"P23780",0.1222894579,0.1945087341,0.0392332404,0.2964822705,0.1526346683,0.1039036473,0.0329942644,0.0579537172,"Lysosome"
"P24288",0.0550372026,0.0837109767,0.0197955712,0.0714933134,0.0555761993,0.0524296377,0.0218818112,0.6400752879,"unknown"
"P27046",0.0718137886,0.1172399537,0.0651320468,0.2714692459,0.2195633934,0.158690742,0.05230487,0.0437859595,"unknown"
"P28474",0.068926527,0.1066929385,0.0277539033,0.0671541198,0.0439659708,0.0393744453,0.0275971722,0.618534923,"unknown"
"P28658",0.1059835768,0.1109655813,0.0494965124,0.1031353127,0.0879614997,0.098249447,0.0611087268,0.3830993432,"unknown"
"P29416",0.1548368937,0.1859630454,0.1315065567,0.2618539287,0.1460121251,0.0561261192,0.0362964408,0.0274048904,"Lysosome"
"P30412",0.1569665731,0.1674611387,0.0506827278,0.2414018718,0.1863784572,0.1354872031,0.0410682809,0.0205537474,"unknown"
"P34022",0.0555802179,0.0829686853,0.032098408,0.0754256655,0.1032272412,0.164338344,0.0669916199,0.4193698183,"unknown"
"P35279",0.2179554241,0.3071483753,0.0354801257,0.226269302,0.0904547618,0.0711244677,0.0186534715,0.0329140718,"unknown"
"P35822",0.2309110826,0.1613622242,0.0527147803,0.128603533,0.0938542908,0.1029365462,0.1794793384,0.0501382046,"unknown"
"P36552",0.0206787985,0.0297810113,0.0121540582,0.1169182019,0.4339298099,0.2958108089,0.0751308623,0.015596449,"Mitochondrion"
"P42208",0.1098434287,0.1040124713,0.0202056422,0.1283498194,0.1201068009,0.2801171928,0.1674503123,0.0699143324,"unknown"
"P42209",0.1185929375,0.121374988,0.0259003389,0.1123539114,0.0999829279,0.2231141097,0.1481071992,0.1505735873,"unknown"
"P45878",0.1672066113,0.1416907627,0.0897825973,0.2145299844,0.1776105388,0.1263641908,0.0678799685,0.0149353462,"unknown"
"P46664",0.0757048013,0.0829695047,0.0540333451,0.0677730413,0.0487873838,0.035891974,0.033000224,0.6018397257,"unknown"
"P47757",0.1358153706,0.1790678325,0.0271733057,0.1449471537,0.0852419224,0.0941646789,0.0303467271,0.3032430092,"unknown"
"P47964",0.046024028,0.0444855013,0.0203941471,0.1053279996,0.1372659641,0.1254230292,0.4101403607,0.1109389701,"60S Ribosome"
"P48036",0.0762485462,0.0898213687,0.0224351651,0.0732480533,0.0598519488,0.0249359707,0.0052700796,0.6481888675,"unknown"
"P48962",0.0176976968,0.0253323226,0.0122266985,0.1133282867,0.4767568081,0.2780448745,0.0628663204,0.0137469924,"Mitochondrion"
"P50431",0.0599330229,0.0751302282,0.0141221543,0.0754387191,0.1190554194,0.0890427306,0.0559434214,0.5113343041,"unknown"
"P55096",0.0513563855,0.0709952985,0.0230761163,0.1013145729,0.2858991332,0.2842126581,0.1258647665,0.057281069,"unknown"
"P55302",0.1179411123,0.1369930993,0.0531328392,0.2432143303,0.2065670167,0.1531036009,0.0584315221,0.0306164792,"unknown"
"P56391",0.0212726856,0.022985644,0.0196480418,0.096977849,0.4323393414,0.2756195869,0.1271967573,0.0039600941,"unknown"
"P56395",0.0858416205,0.1217616029,0.048132032,0.2660219291,0.2195100585,0.1938196806,0.0519242471,0.0129888292,"unknown"
"P56959",0.0722615638,0.070242574,0.0800067188,0.0951126424,0.0820089658,0.1507344549,0.1524172096,0.2972158707,"unknown"
"P57759",0.0999355575,0.1476102983,0.0268538176,0.2830699867,0.2083057859,0.1921944363,0.030505472,0.0115246456,"Endoplasmic reticulum"
"P57784",0.0597966402,0.0775576469,0.02912815,0.0990490382,0.1338849978,0.1790596344,0.2248941704,0.1966297221,"unknown"
"P58281",0.0594259662,0.0667426746,0.0363196624,0.1268003257,0.3125819962,0.2610115646,0.100180444,0.0369373663,"unknown"
"P59325",0.0441200228,0.0500367963,0.025084365,0.0480842441,0.041070936,0.0619159872,0.1447738579,0.5849137907,"unknown"
"P59999",0.1826285409,0.1576871731,0.0288995001,0.1459218791,0.1043345739,0.1228079406,0.1031922018,0.1545281904,"unknown"
"P61979",0.0422194604,0.0313279666,0.0123896538,0.0453638728,0.0458928747,0.1238504547,0.3942143251,0.304741392,"unknown"
"P62073",0.0906997617,0.0662195314,0.0331425336,0.1090073566,0.3736366271,0.2047406496,0.0986045017,0.0239490385,"unknown"
"P62274",0.0709356848,0.0636438457,0.017961029,0.1024286712,0.0995148755,0.1045512078,0.3745873,0.166377386,"40S Ribosome"
"P62334",0.0670703653,0.0660456719,0.0205130983,0.0775574366,0.0750418295,0.1007754862,0.0537143665,0.5392817457,"Proteasome"
"P62743",0.2324566263,0.1735550504,0.0218786849,0.1865845884,0.1514431962,0.1407705355,0.0457948466,0.0475164717,"unknown"
"P62751",0.0538327136,0.0540006958,0.0359788007,0.1541387406,0.1570510646,0.1297598146,0.3175538707,0.0976842992,"60S Ribosome"
"P62754",0.0355167776,0.0485656698,0.015494932,0.1281755926,0.1473242712,0.1514932635,0.271696973,0.2017325202,"unknown"
"P62849",0.0938697463,0.0824611776,0.0236882341,0.1264372279,0.115933848,0.1221540816,0.2673105667,0.1681451179,"unknown"
"P62852",0.0857179814,0.0667924456,0.0271487596,0.0987999793,0.1010215311,0.1040691212,0.3836423671,0.1328078148,"40S Ribosome"
"P62858",0.0509472238,0.0591312933,0.0487071992,0.0760771547,0.0802367187,0.0843322508,0.4366936843,0.1638744752,"40S Ribosome"
"P63323",0.0459438624,0.0503867217,0.0126351796,0.1194846127,0.127532597,0.1426347459,0.2960424911,0.2053397896,"40S Ribosome"
"P70206",0.2714968348,0.2005580153,0.0507852733,0.1319923694,0.0968166916,0.0955319178,0.0932912416,0.0595276561,"unknown"
"P70349",0.0264940756,0.0459865743,0.0095135925,0.0304050543,0.0144325528,0.0115621425,0.0099349978,0.8516710103,"unknown"
"P70452",0.3142742824,0.2274246094,0.0452148159,0.1766161358,0.1094274087,0.0713994444,0.0272413091,0.0284019942,"unknown"
"P85094",0.0511171691,0.0658341921,0.0254617426,0.1061708459,0.345346966,0.3347619739,0.0622510966,0.0090560138,"Mitochondrion"
"P97287",0.1119181732,0.1324584656,0.0370622993,0.1998610855,0.2134128179,0.1922992506,0.0650329873,0.0479549207,"unknown"
"P97314",0.3286287679,0.1669169806,0.09355376,0.1013951833,0.0661617761,0.0874809863,0.1076533561,0.0482091897,"unknown"
"P97450",0.079082416,0.0682467223,0.018741713,0.1397385583,0.376994881,0.2427676708,0.0673082108,0.0071198277,"unknown"
"P99024",0.0950545793,0.0803871984,0.0309583685,0.0725452183,0.0451328698,0.0788503416,0.050469543,0.5466018812,"unknown"
"Q00547",0.0770971499,0.0818374724,0.0334639359,0.1120825622,0.13347382,0.212980055,0.1886783104,0.1603866943,"unknown"
"Q01768",0.0244017017,0.0361442677,0.0122017796,0.0559705259,0.0470001891,0.0351515159,0.0186092386,0.7705207816,"unknown"
"Q05186",0.0886183654,0.1649355175,0.0382997419,0.2747092154,0.1839516674,0.1471576107,0.062019343,0.0403085388,"Endoplasmic reticulum"
"Q3TCN2",0.1968589223,0.2443220381,0.0303906504,0.2192163717,0.1548719654,0.0989253265,0.0269124095,0.0285023161,"unknown"
"Q3THK7",0.0541822114,0.0538968615,0.0201755995,0.0566696608,0.0559932698,0.1447861197,0.1372727525,0.4770235247,"unknown"
"Q3TKT4",0.0713600807,0.0687247432,0.0162666836,0.1008211638,0.0832666155,0.3934889251,0.1628425768,0.1032292113,"unknown"
"Q3TRM4",0.0888844333,0.1272746873,0.0779357306,0.2281321275,0.1884243825,0.1484268435,0.0743847695,0.066537026,"unknown"
"Q3TWN3",0.2327376919,0.228634851,0.0453317795,0.2114160759,0.1402515171,0.1085693912,0.0204824232,0.0125762702,"Plasma membrane"
"Q3UIL6",0.2320161854,0.2113115375,0.0315069668,0.1484654841,0.1260064493,0.1458992631,0.0642681162,0.0405259976,"unknown"
"Q3UKJ7",0.0630066438,0.0749366669,0.0285486657,0.0974062212,0.127376054,0.2076093349,0.2235426563,0.1775737573,"unknown"
"Q3URK3",0.0439571388,0.0531782592,0.0136359779,0.0731298076,0.1032524343,0.4058018928,0.1710168225,0.1360276669,"unknown"
"Q60634",0.1542693939,0.166716403,0.0410275161,0.1933929627,0.1489204799,0.1699005485,0.0811368636,0.0446358322,"unknown"
"Q60760",0.1569600593,0.1895652222,0.0254800254,0.1819072009,0.1108591418,0.1511404095,0.0634282669,0.1206596741,"unknown"
"Q60931",0.0010288879,0.0429525619,0.0003912667,0.1267577143,0.4220977736,0.3421990535,0.0639499756,0.0006227666,"unknown"
"Q60953",0.047085685,0.0506552819,0.0308925891,0.0475255969,0.0360483752,0.0731091213,0.0490278666,0.665655484,"unknown"
"Q60973",0.0327441863,0.0300813857,0.0105226339,0.0352140898,0.0349004039,0.2926840967,0.1143115079,0.4495416958,"unknown"
"Q61001",0.1182480713,0.1482453684,0.084903772,0.2347776505,0.1743871153,0.1264784591,0.0725788624,0.0403807009,"unknown"
"Q61074",0.0325082347,0.0385840705,0.0104381254,0.0565107201,0.0612745803,0.2447730056,0.0611297346,0.4947815289,"unknown"
"Q61510",0.0966021333,0.0997930481,0.0767896181,0.1098807317,0.1138845091,0.1361775728,0.2374048071,0.1294675797,"unknown"
"Q61584",0.0840218485,0.0775268755,0.0226568049,0.0969909034,0.1093743175,0.1555548894,0.3710802103,0.0827941505,"unknown"
"Q61686",0.04360328,0.0474070475,0.0156219878,0.0432647271,0.0360985367,0.2195208757,0.1451274873,0.4493560579,"unknown"
"Q61768",0.0946465854,0.102112877,0.0262841111,0.127826391,0.1120396733,0.2565399874,0.1265372913,0.1540130835,"unknown"
"Q61990",0.0838621804,0.0773711267,0.0169490052,0.0808430792,0.0814438676,0.1929945041,0.1913480815,0.2751881553,"unknown"
"Q64152",0.0862400839,0.0753009081,0.0242834717,0.0859290775,0.0864644763,0.1150209775,0.1820396418,0.3447213633,"unknown"
"Q64378",0.0493122571,0.0645347256,0.0338869739,0.0619427133,0.0421748219,0.0790291482,0.046650287,0.6224690731,"unknown"
"Q64674",0.085574732,0.0897679292,0.0353446528,0.0644876934,0.0427173479,0.0339669642,0.0133063954,0.6348342852,"unknown"
"Q68FL6",0.0697180148,0.0871514403,0.0299400302,0.0838020948,0.1246659745,0.1361260225,0.1360087378,0.3325876851,"unknown"
"Q6NZJ6",0.0694661513,0.0787716538,0.0225444511,0.1101877591,0.1340808719,0.1747715792,0.2182022578,0.1919752759,"unknown"
"Q6NZL0",0.1036424783,0.1571369711,0.0464165173,0.2482792313,0.1666772832,0.1484865825,0.0735680285,0.0557929078,"unknown"
